s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-4.1901745E-019,-5.5511151E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7452860E-019, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000, 9.5513465E-014,-5.6976387E-010, 1.3630473E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1302367E-010,-5.5603788E-010,-7.3138165E-009,-7.3138165E-009
 2.0000000E+000, 1.7813738E-003, 2.0927019E-011, 3.0280295E-005,-2.9954451E-009,-4.1357566E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1722599E-007, 1.8116097E-003, 8.7214733E-008, 8.7214733E-008
 3.0000000E+000, 4.7916898E-003,-4.0303659E-004, 7.0985351E-005,-6.5399513E-005,-8.2743253E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7711120E-003, 4.3941563E-003, 1.7564875E-007, 1.7564875E-007
 4.1077781E+000, 2.4112045E-002,-2.2480688E-003, 3.6484476E-004,-4.8448197E-004,-1.0954344E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9599183E-002, 2.1744230E-002, 2.3254939E-007, 2.3254939E-007
 5.0937743E+000, 1.3727332E-002,-1.2606380E-003,-7.1424881E-004,-2.3922515E-004,-1.5374193E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4787279E-003, 1.1513066E-002, 3.2547772E-007, 3.2547772E-007
 6.0981417E+000, 1.4237227E-002,-2.1386898E-003,-1.3343851E-002,-5.4295727E-004,-1.9594598E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6975426E-004,-1.7884672E-003, 4.1609014E-007, 4.1609014E-007
 7.1176467E+000, 2.5505414E-002,-2.6860146E-003,-1.7692485E-002,-6.5921586E-004,-2.3775944E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5400667E-003, 4.4674611E-003, 5.0727632E-007, 5.0727632E-007
 8.0678549E+000, 2.3787612E-002,-2.2102598E-003,-1.7512977E-002,-5.4375625E-004,-2.7944705E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0194698E-003, 3.5203388E-003, 5.9743771E-007, 5.9743771E-007
 9.0909405E+000, 2.0538968E-002,-2.6212591E-003,-1.7371564E-002,-5.9092384E-004,-3.2129201E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4157432E-004,-4.5100949E-005, 6.8612359E-007, 6.8612359E-007
 1.0006978E+001, 2.4926960E-002,-2.8468329E-003,-1.9322426E-002,-8.4885100E-004,-3.6072843E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9088911E-003, 1.9084891E-003, 7.7040685E-007, 7.7040685E-007
 1.1084660E+001, 4.3080126E-002,-3.0241148E-003,-2.5803697E-002,-1.0266472E-003,-3.9898614E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3501256E-002, 1.3225268E-002, 8.5612691E-007, 8.5612691E-007
 1.1999665E+001, 4.5895444E-002,-3.1774758E-003,-3.7154078E-002,-1.0720229E-003,-3.8836479E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4880689E-003, 4.4914786E-003, 8.3322701E-007, 8.3322701E-007
 1.3023057E+001, 2.7872172E-002,-3.1304778E-003,-3.5932684E-002,-8.7348243E-004,-3.3826424E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1881942E-002,-1.2064811E-002, 7.2163419E-007, 7.2163419E-007
