General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94905397,113.772542,-0.00135644,0.04207808,0.999441,0.99709,106.613371,-0.0053,100.5067,0,277.435,328.051,330.199,1021.856,0,0
Standard used,ISO 5660-1,1,20.94850239,120.338361,-0.00132597,0.04199539,0.99858,0.997097,106.613371,-0.0052,100.5075,0,277.452,328.029,330.186,1021.943,0,0
Date of test,07/07/2017,2,20.9479508,126.904179,-0.0012955,0.0419127,0.99772,0.997104,106.613371,-0.0051,100.5084,0,277.468,328.008,330.172,1022.031,0,0
Time of test,12:42,3,20.94956695,124.783316,-0.00120314,0.04199561,0.9993,0.997133,106.613371,-0.0051,100.5083,0,277.471,328.021,330.168,1022.049,0,0
Heat flux (kW/m�),50,4,20.95031059,131.258609,-0.00113588,0.04237857,0.997317,0.997112,106.613371,-0.0051,100.5085,0,277.465,328.023,330.193,1022.239,0,0
Nominal duct flow rate (l/s),24,5,20.95055414,131.036566,-0.00114291,0.04228106,0.997292,0.997072,106.613371,-0.0053,100.5094,0,277.463,328.01,330.186,1022.287,0,0
Sampling interval (s),1,6,20.95048431,132.485835,-0.00109324,0.04201765,0.997085,0.997075,106.613371,-0.0052,100.5094,0,277.45,328.034,330.253,1022.296,0,0
Separation (mm),25,7,20.94996496,126.695686,-0.00107058,0.04189954,0.997234,0.997072,106.613371,-0.0051,100.5091,0,277.449,328.032,330.259,1022.277,0,0
Orientation,Horizontal,8,20.9495465,125.164626,-0.00104307,0.04197178,0.998178,0.997088,106.613371,-0.005,100.5093,0,277.452,328.045,330.259,1022.264,0,0
Edge frame?,Yes,9,20.94997054,128.551466,-0.0010245,0.04211328,0.997195,0.997154,106.613371,-0.0049,100.5082,0,277.454,328.061,330.274,1022.251,0,0
