Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,1.00488460669772,0.0100028319086557,-0.412619790128831,0.88806649999996,100.460011312213,1.03500128093268E-05,0.000670014211150437,0,26.5334808716054,-0.0147774756809832,24.6439721885625,24.7967799616808,-0.000366433812850429,-0.0414517887839852,0,0,9.19149965053363E-06,0.000595017175446603,0.000530426302960219,0,0,106.4
peak HRR (kW/m²),224.093411120374,1,0.821131946499391,0,0,-0.501073499999992,-56.6825226244335,0,0,0.000913008276598554,26.1572988353652,-0.00806429675304287,24.2962823359274,24.4481827034602,-0.000197157400393313,-0.0223028733476598,0,0,1.70877473043631E-05,0.000394025864269601,0.000404444087236924,0.000467435195098571,0.913008276598554,106.414472
peak EHC (MJ/kg),76.4873383704349,2,0.578729934519806,0,0,-0.1719455,-19.4508484162895,0,0,0.00161293921710815,26.098764561114,-0.00667399370771161,24.2472331100486,24.3971678486721,-0.000162826544708021,-0.0184192923877852,0,0,1.37153264569138E-05,0.000466867318945054,0.000282481750420359,0.000810898113927212,0.806469608554076,106.829391
peak MLR (g/s),0.593495666666662,3,0.486264256809686,0.0328930280425439,-2.95677472336703,0.130683499999995,14.7832013574655,5.52178085001285E-05,0.00304434643551671,0.0021454363127729,26.4878379632285,-0.015615927114334,24.5993296890886,24.7440748622885,-0.000386401669561121,-0.0437105961041992,0,0,7.21605647712628E-06,0.000397845847405834,0.00021743088213443,0.00106085443020461,0.715145437590966,106.703843
peak SEA (m²/kg),4704.11787657257,4,0.344293955695821,0.0425232921446147,-2.74724029593852,0.0715739166666687,8.09659690799419,6.88293315504015E-05,0.00434955444755701,0.00256071541902565,26.517611564618,-0.00794133943947597,24.6205234817345,24.7604008748671,-0.000196630748004818,-0.0222432972856129,0,0,4.92638484061094E-06,0.000311314647566584,0.000125923277807773,0.00123253151017571,0.640178854756413,106.651622
peak COY (kg/kg),5.17244024733356,5,0.00643133571516291,0.00108637012443476,-7.73434315801933,0.0523329999999961,5.92002262443395,0.000136169005325942,0.00528937525462436,0.00273607806473114,26.3071755035577,-0.0164816375768186,24.4196301985624,24.55832307937,-0.000404761380488596,-0.0457874864806104,0,0,7.12613255572201E-06,0.000276808875200236,-6.15299554787969E-05,0.00129549314907959,0.547215612946229,106.560522
peak CO2Y (kg/kg),405.538638180059,6,-0.0102690996366753,-0.00176600219092778,-7.72291204955305,0.0514035833333359,5.81488499245882,0.000272765503958055,0.00611638431671066,0.00273929373258873,25.8206109258859,-0.0164707154218843,23.9668801056234,24.1024960329141,-0.000396985353115224,-0.0449078453750254,0,0,1.40211243131673E-05,0.000314404070922745,-6.01380388145624E-05,0.00129549314907959,0.456548955431454,106.54171
,,7,-0.292553796810511,-0.025242412023703,-3.55345931242279,0.102453583333338,11.5897718702871,0.000277813984019414,0.00419628492825754,0.00273929373258873,26.2057300064234,-0.0148821492081356,24.3227922822595,24.4631762990195,-0.000364064639786935,-0.0411837827813275,0,0,2.84630381628998E-05,0.000429924427587666,-0.000192128230569864,0.00129549314907959,0.391327676084104,106.452543
Time To Peaks,,8,-0.489997198036514,0,0,-0.148982166666668,-16.8531862745099,0,0,0.00273929373258873,26.1249986933869,-0.0102999479907832,24.2484534479197,24.384854419684,-0.000251162732285565,-0.0284120737879598,0,0,3.20438607252466E-05,0.000483691900410417,-0.0002896738745851,0.00129549314907959,0.342411716573591,106.404633
t peak HRR (s),589,9,-0.534028558254205,0,0,-0.183014083333333,-20.7029506033182,0,0,0.00273929373258873,26.1960993687701,-0.0145163194856769,24.3132602547323,24.4484006771391,-0.00035490079514319,-0.0401471487718541,0,0,2.65702642385244E-05,0.000391656787083172,-0.000330126814716767,0.00129549314907959,0.304365970287636,106.693349
