Time (s),HRR (kW/m2),MLR (g/s),Specimen mass (g)
0,1.00488460669772,0.8880664999999599,106.4
1,0.821131946499391,-0.5010734999999921,106.414472
2,0.578729934519806,-0.1719455,106.82939099999999
3,0.48626425680968605,0.13068349999999498,106.70384299999999
4,0.34429395569582105,0.0715739166666687,106.651622
5,0.0064313357151629105,0.0523329999999961,106.56052199999999
6,-0.0102690996366753,0.0514035833333359,106.54171000000001
7,-0.29255379681051097,0.10245358333333801,106.45254299999999
8,-0.489997198036514,-0.148982166666668,106.404633
9,-0.534028558254205,-0.18301408333333302,106.693349
10,-0.410703409375692,0.162363416666672,106.68037199999999
11,-0.0924666569842453,0.0939479999999999,106.462286
12,-0.0531481194517766,0.00588333333333561,106.50448999999999
13,-0.363895053417329,0.10727633333333801,106.413669
14,-0.522123622707299,-0.128388416666673,106.362036
15,-0.518979118650418,-0.099944500000003,106.60996999999999
16,-0.35630618392577795,0.0242864166666704,106.534237
17,-0.0197533759588631,0.0227909166666684,106.591943
18,-0.125206702904013,-0.0422244166666642,106.509257
19,0.271992461453562,-0.17398858333333403,106.683621
20,0.38767237364965507,0.12589016666666197,106.76096799999999
21,0.997513307445596,0.0423030833333324,106.51776799999999
22,1.51825137857916,-0.0914246666666732,106.69311499999999
23,1.97714627063346,-0.0122695000000057,106.64843400000001
24,2.56488310398775,0.094681166666664,106.7092
25,2.47810781593021,0.0462579166666745,106.499214
26,3.14378532301484,-0.0878793333333346,106.635529
27,3.3754097123834503,0.0652489999999991,106.61416100000001
28,3.7019834520569597,-0.10549991666666499,106.574224
29,3.8816565305774398,-0.13595375,106.791762
30,3.71141286899311,0.0573430833333373,106.79033799999999
31,4.343496542363391,0.0940360000000098,106.711628
32,3.56520857411367,0.0837420833333304,106.621269
33,3.45209897535109,-0.0224709166666687,106.56764199999999
34,3.7959440735334598,-0.0563644999999985,106.643355
35,3.94073102354185,0.19425241666666299,106.618665
36,2.9997307621591496,0.0282563333333326,106.35307900000001
37,2.5293132111664702,-0.20357816666666298,106.57646299999999
38,2.45367049995623,0.0570435833333309,106.644815
39,2.5925541609061296,0.0875831666666708,106.509615
40,2.28024440128798,0.0145792500000006,106.50281799999999
41,1.9899034513718101,-0.107264666666672,106.49148500000001
42,0.8508176954603471,-0.059615000000002,106.674726
43,0.37122094025137103,0.0364459166666637,106.59770300000001
44,0.34056132897966995,-0.0318709999999906,106.63718200000001
45,0.49406740022120094,0.0583975833333383,106.62848400000001
46,1.63246485600918,0.0792753333333245,106.538522
47,1.7703730924735002,-0.0708470833333337,106.509194
48,1.41295563602166,-0.0248030000000069,106.634166
49,0.5092273726341641,0.0673187500000078,106.543471
50,0.35900709489773797,0.10246583333333502,106.515102
51,0.556290548960197,0.0605054166666577,106.364507
52,0.843778582040274,-0.15558474999999802,106.43204399999999
53,0.6876021726121031,-0.07224050000000298,106.60507199999999
54,0.39872076448089294,-0.00886191666666865,106.57260500000001
55,0.294948488108605,0.0580524166666609,106.62210900000001
56,0.358777565544601,0.12840483333334302,106.461997
57,0.590208891497944,-0.00869616666666317,106.41683700000002
58,0.876320446385091,-0.11814616666667,106.47128700000002
59,0.678908551606365,0.0186016666666641,106.592075
60,0.37436539972349303,0.0832165000000025,106.446147
61,1.09423906317797,0.10932491666666999,106.43893700000001
62,1.3552401223800803,0.0835587500000052,106.244781
63,0.811373927311133,-0.0430870833333389,106.29304599999999
64,0.7973424845761781,0.0644123333333333,106.281724
65,-0.27611324050402003,-0.0686524999999977,106.217436
66,-0.7434841347258809,-0.19186216666667302,106.412849
67,-0.8163955911103241,0.00477599999999849,106.518216
68,-0.723062826952534,0.27399308333333605,106.385618
69,0.22791968297473103,0.220141583333334,106.0569
70,1.18519910761899,-0.0943082500000022,106.01023799999999
71,2.35175551804226,-0.0337707500000034,106.156875
72,3.79657415416829,0.114043500000003,106.053719
73,6.752942297672581,-0.0616399166666698,105.999499
74,10.453202251333,0.0230822499999933,106.119752
75,14.5494973852686,0.129921749999996,105.94546000000001
