s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6479873E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6479873E-020, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 4.4612835E-003,-1.8449055E-004, 7.1257008E-005,-2.9458553E-005,-7.2433235E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9129897E-004, 4.3178671E-003, 2.2909215E-007, 2.2909215E-007
 2.6898468E+000, 2.7604729E-002,-1.6409036E-003, 4.3016497E-004,-5.3413899E-004,-7.5477747E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2930175E-002, 2.5859096E-002, 2.3847445E-007, 2.3847445E-007
 3.6144745E+000, 1.7027312E-002,-1.7924185E-003, 2.4501225E-004,-5.6361256E-004,-7.7897075E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6322935E-002, 1.4915514E-002, 2.4392300E-007, 2.4392300E-007
 4.8704681E+000, 1.5444616E-002,-1.3750571E-003,-8.9218979E-003,-3.9989767E-004,-8.0585835E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4144828E-003, 4.7469573E-003, 2.5313481E-007, 2.5313481E-007
 6.0294247E+000, 1.1846552E-002,-1.3970084E-003,-1.3269116E-002,-4.2707540E-004,-8.3875839E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1424748E-003,-3.2474875E-003, 2.6333709E-007, 2.6333709E-007
 7.3042774E+000, 1.2022794E-002,-1.4603522E-003,-1.2288674E-002,-4.5674561E-004,-8.7218705E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7839190E-003,-2.1838501E-003, 2.7378539E-007, 2.7378539E-007
 8.5105896E+000, 1.5544186E-002,-1.4835158E-003,-1.1829026E-002,-4.6264385E-004,-9.0495079E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0626229E-003, 1.7680955E-003, 2.8430189E-007, 2.8430189E-007
 9.7169018E+000, 1.5661964E-002,-1.4377494E-003,-1.1470287E-002,-4.0139383E-004,-9.3720084E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0108897E-004, 2.3515965E-003, 2.9463903E-007, 2.9463903E-007
 1.0923214E+001, 1.1744411E-002,-1.3792618E-003,-1.0500287E-002,-3.9557705E-004,-9.6951542E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.2527495E-004,-5.3168460E-004, 3.0450630E-007, 3.0450630E-007
 1.2009893E+001, 1.5897925E-002,-1.6475439E-003,-1.3927737E-002,-5.4538039E-004,-9.9987031E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7840149E-003,-2.2373673E-004, 3.1419085E-007, 3.1419085E-007
 1.3338058E+001, 2.1198855E-002,-1.8049973E-003,-1.3688651E-002,-5.5464322E-004,-1.0317716E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9100463E-003, 5.1495320E-003, 3.2463241E-007, 3.2463241E-007
 1.4489467E+001, 1.7118749E-002,-1.6871392E-003,-1.5355439E-002,-4.7636366E-004,-1.0655610E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3212020E-003,-4.0125834E-004, 3.3514029E-007, 3.3514029E-007
 1.5723508E+001, 1.5008946E-002,-1.4629392E-003,-1.4830147E-002,-5.2355288E-004,-1.0967483E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6409390E-003,-1.8087903E-003, 3.4508005E-007, 3.4508005E-007
